Sample,Sequence,RPKM
SI072_120m,SaanichInlet_120m_11_299,0.826608
SI072_120m,SaanichInlet_120m_11_3,0.212701
SI072_120m,SaanichInlet_120m_11_30,0.213051
SI072_120m,SaanichInlet_120m_11_31,0.389234
SI072_120m,SaanichInlet_120m_11_32,0.191801
SI072_120m,SaanichInlet_120m_11_33,0.3302
SI072_120m,SaanichInlet_120m_11_34,0.183453
SI072_120m,SaanichInlet_120m_11_35,2.82885
SI072_120m,SaanichInlet_120m_11_36,0.0652975
SI072_120m,SaanichInlet_120m_11_37,1.54319
SI072_120m,SaanichInlet_120m_11_38,0.36568
SI072_120m,SaanichInlet_120m_11_39,0.146109
SI072_120m,SaanichInlet_120m_11_4,0.316418
SI072_120m,SaanichInlet_120m_11_40,0.201187
SI072_120m,SaanichInlet_120m_11_41,0.0749533
SI072_120m,SaanichInlet_120m_11_42,0.239152
SI072_120m,SaanichInlet_120m_11_43,0.599042
SI072_120m,SaanichInlet_120m_11_44,0.317666
SI072_120m,SaanichInlet_120m_11_45,0.635095
SI072_120m,SaanichInlet_120m_11_46,0.751563
SI072_120m,SaanichInlet_120m_11_47,0.415699
SI072_120m,SaanichInlet_120m_11_48,0.209413
SI072_120m,SaanichInlet_120m_11_49,0.153116
SI072_120m,SaanichInlet_120m_11_5,7.6657
SI072_120m,SaanichInlet_120m_11_50,0.485952
SI072_120m,SaanichInlet_120m_11_51,1.15214
SI072_120m,SaanichInlet_120m_11_52,0.214408
SI072_120m,SaanichInlet_120m_11_53,0.136673
SI072_120m,SaanichInlet_120m_11_54,0.11118
SI072_120m,SaanichInlet_120m_11_55,0.120424
SI072_120m,SaanichInlet_120m_11_56,0.389097
SI072_120m,SaanichInlet_120m_11_57,1.27387
SI072_120m,SaanichInlet_120m_11_58,0.532377
SI072_120m,SaanichInlet_120m_11_59,0.1777
SI072_120m,SaanichInlet_120m_11_6,0.146209
SI072_120m,SaanichInlet_120m_11_60,0.0975933
